"global_instance_id","run_id","run_instance_id","parent_instance_id","leader_radar","leader_veh_type","follower_radar","follower_veh_type","start_time","end_time","road_type","congestion","speed_limit"
"3001","3","1","1","0","pc","10","pc","00:04:23.100","00:04:47.300","hw","u","50"
"3002","3","2","2","10","pc","1","pc","00:05:48.100","00:06:11.300","hw","u","50"
"3003","3","3","3","10","pc","1","pc","00:06:11.400","00:06:21.200","hw","u","50"
"3004","3","4","4","0","pc","10","pc","00:06:23.000","00:06:34.100","hw","u","50"
"3005","3","5","5","0","pc","10","pc","00:06:38.600","00:07:24.400","hw","u","50"
"3006","3","6","6","0","pc","0","m","00:07:13.700","00:07:24.400","hw","u","50"
"3007","3","7","7","0","pc","10","pc","00:08:00.900","00:08:29.300","hw","u","50"
"3008","3","8","8","10","pc","1","pc","00:08:51.200","00:09:07.100","hw","u","50"
"3009","3","9","9","0","pc","10","pc","00:09:44.600","00:10:38.600","hw","u","40"
"3010","3","10","10","10","pc","1","pc","00:10:52.700","00:12:04.200","hw","u","40"
"3011","3","11","11","0","pc","10","pc","00:10:57.400","00:11:10.200","hw","u","40"
"3012","3","12","12","0","pc","1","pc","00:11:14.100","00:11:28.300","hw","u","40"
"3013","3","13","13","0","pc","10","pc","00:12:44.500","00:12:57.500","hw","u","45"
"3014","3","14","14","0","pc","10","pc","00:12:57.600","00:13:25.500","hw","u","45"
"3015","3","15","15","0","pc","10","pc","00:15:59.700","00:16:34.100","hw","u","45"
"3016","3","16","16","0","pc","10","pc","00:16:43.200","00:17:01.300","hw","u","45"
"3017","3","17","17","0","pc","10","pc","00:17:01.400","00:18:00.100","hw","u","45"
"3018","3","18","18","0","pc","10","pc","00:18:41.700","00:19:01.400","is","u","55"
"3019","3","19","19","0","pc","10","pc","00:20:00.700","00:20:32.500","is","u","55"
"3020","3","20","20","0","pc","10","pc","00:20:32.600","00:21:09.100","is","u","55"
"3021","3","21","21","0","pc","10","pc","00:21:18.900","00:21:45.900","is","u","55"
"3022","3","22","22","10","pc","1","pc","00:22:45.900","00:23:06.900","aw","u","55"
"3023","3","23","23","10","pc","1","pc","00:23:09.700","00:23:17.600","aw","c","55"
"3024","3","24","24","0","pc","10","pc","00:23:21.100","00:23:37.300","aw","u","55"
"3025","3","25","25","0","pc","10","pc","00:23:58.200","00:24:13.100","aw","u","55"
"3026","3","26","26","10","pc","1","pc","00:24:01.100","00:24:24.900","aw","u","55"
"3027","3","27","27","0","pc","10","pc","00:24:13.200","00:24:38.700","wz2","u","55"
