"run_id","age","sex","date","peak"
"3","22","female","2013/06/21","PM"
"5","21","female","2013/06/20","PM"
"6","23","female","2013/06/20","AM"
"7","24","female","2013/06/21","AM"
"8","36","female","2013/06/27","PM"
"9","27","female","2013/07/30","PM"
"10","35","female","2013/07/10","AM"
"11","20","female","2013/07/11","AM"
"12","25","female","2013/07/31","AM"
"13","19","female","2013/07/16","AM"
"14","25","female","2013/07/23","PM"
"16","22","female","2013/08/28","AM"
"17","51","female","2013/06/17","PM"
"18","50","female","2013/06/25","AM"
"19","48","female","2013/06/24","PM"
"20","63","female","2013/06/26","PM"
"22","66","female","2013/07/23","AM"
"23","70","female","2013/08/12","PM"
"24","54","female","2013/07/09","PM"
"25","63","female","2013/07/29","PM"
"26","46","female","2013/07/15","AM"
"27","70","female","2013/07/15","PM"
"28","62","female","2013/07/16","PM"
"29","60","female","2013/07/18","PM"
"31","64","female","2013/08/27","PM"
"32","57","female","2013/08/29","PM"
"34","18","male","2013/07/19","PM"
"35","42","male","2013/06/19","PM"
"36","21","male","2013/06/24","AM"
"37","24","male","2013/07/24","PM"
"38","23","male","2013/07/11","PM"
"39","20","male","2013/07/08","PM"
"40","20","male","2013/08/23","AM"
"41","22","male","2013/07/26","AM"
"42","28","male","2013/07/30","AM"
"43",,,"2013/08/28","PM"
"44","26","male","2013/08/09","AM"
"45","21","male","2013/07/25","AM"
"46","30","male","2013/08/05","PM"
"47","27","male","2013/08/26","PM"
"48","22","male","2013/08/13","PM"
"49","71","male","2013/06/18","AM"
"50","55","male","2013/06/19","AM"
"51","48","male","2013/06/26","AM"
"52","48","male","2013/06/27","AM"
"53","50","male","2013/06/25","PM"
"54","60","male","2013/07/29","AM"
"55","71","male","2013/07/26","PM"
"56","67","male","2013/08/30","PM"
"57","49","male","2013/07/09","AM"
"58","69","male","2013/07/25","PM"
"59","67","male","2013/08/08","PM"
"60","70","male","2013/08/07","PM"
"61","51","male","2013/08/14","AM"
"62","46","male","2013/08/21","AM"
"63","47","male","2013/08/08","AM"
"64","58","male","2013/08/27","AM"
"65","24","male","2013/08/29","AM"
"66","27","male","2013/08/30","AM"
